SimTicketID,SampledHistoricalTicket,ArrivalTime,CompletionTime,TotalSystemTime,Closed_Level,Level1_Minutes,Level2_Minutes,Level3_Minutes
157,TKT0043,4965.15725050478,5036.15725050478,71.0,1,71,0,0
153,TKT0152,4782.133046695168,5057.298284413977,275.1652377188093,2,55,75,0
159,TKT0075,4968.279841172077,5104.298284413977,136.01844324190006,2,58,47,0
156,TKT0034,4952.394861042556,5110.8279852557325,158.4331242131766,2,5,76,0
162,TKT0321,5087.525727999383,5126.525727999383,39.0,1,39,0,0
161,TKT0009,5008.325737386325,5167.298284413977,158.97254702765167,2,60,63,0
164,TKT0323,5146.237671992062,5223.237671992062,77.0,2,59,18,0
160,TKT0458,4988.932262143274,5225.8279852557325,236.89572311245865,3,99,39,76
163,TKT0192,5113.90263688031,5247.8279852557325,133.9253483754228,2,32,98,0
165,TKT0155,5162.2844868079665,5254.237671992062,91.95318518409567,3,58,25,6
166,TKT0402,5206.340974679749,5272.340974679749,66.0,1,66,0,0
